Postcode,Description,Grid Reference,X (easting),Y (northing),Latitude,Longitude
RM70AG,RM70AG,TQ 51110 87777,551110,187777,51.568622,0.17891397
E11BB,E11BB,TQ 34833 81799,534833,181799,51.519026,-0.058075032
SW66SX,SW66SX,TQ 24227 76487,524227,176487,51.473716,-0.21272176
SE59RW,SE59RW,TQ 32536 76228,532536,176228,51.469505,-0.093251533
BR68ND,BR68ND,TQ 43478 64974,543478,164974,51.365713,0.059625435
HA13UJ,HA13UJ,TQ 16346 87581,516346,187581,51.575098,-0.32248145
SW170QT,SW170QT,TQ 26925 71325,526925,171325,51.426727,-0.17574589
NW12BU,NW12BU,TQ 29340 82306,529340,182306,51.524865,-0.13701251
DE223NE,DE223NE,SK 32826 35014,432826,335014,52.911556,-1.5133206
NN15BD,NN15BD,SP 76123 60466,476123,260466,52.237132,-0.88668728
NG72UH,NG72UH,SK 54811 38760,454811,338760,52.943439,-1.1857996
NG51PB,NG51PB,SK 56481 43879,456481,343879,52.989277,-1.16006
NG174JL,NG174JL,SK 51071 59997,451071,359997,53.134692,-1.2380927
LN25QY,LN25QY,SK 99010 71619,499010,371619,53.232388,-0.51814791
PE219QS,PE219QS,TF 33685 45596,533685,345596,52.991023,-0.0097936295
LE15WW,LE15WW,SK 58660 03691,458660,303691,52.627817,-1.1348028
SS165NL,SS165NL,TQ 69975 87157,569975,187157,51.557686,0.45055726
MK429DJ,MK429DJ,TL 04712 48939,504712,248939,52.128848,-0.47173007
CB20QQ,CB20QQ,TL 46375 54988,546375,254988,52.173741,0.13911444
CO45JL,CO45JL,TL 99526 27427,599526,227427,51.909629,0.89936594
SG14AB,SG14AB,TL 22999 26630,522999,226630,51.924611,-0.21272607
IP45PD,IP45PD,TM 19213 45003,619213,245003,52.060012,1.1963461
NR316LA,NR316LA,TG 52093 02477,652093,302477,52.561672,1.7179799
LU40DZ,LU40DZ,TL 05086 22836,505086,222836,51.894177,-0.47426894
CM17ET,CM17ET,TL 70191 11310,570191,211310,51.774585,0.46542433
NR47UY,NR47UY,TG 18143 07129,618143,307129,52.618086,1.2210668
PE39GZ,PE39GZ,TF 16622 00016,516622,300016,52.585451,-0.28009333
PE304ET,PE304ET,TF 65229 20493,565229,320493,52.756781,0.44699931
SS00RY,SS00RY,TQ 86524 87310,586524,187310,51.553836,0.68909337
WD180HB,WD180HB,TQ 10485 95678,510485,195678,51.649051,-0.40447202
IP332QZ,IP332QZ,TL 85110 62732,585110,262732,52.231662,0.70917557
DE130RB,DE130RB,SK 23313 24460,423313,324460,52.817179,-1.6555278
