from_postcode,B152TH,B714HJ,BA13NG,BA214AT,BB23HH,BD96RJ,BH77DW,BL97TD,BN112DH,BN212UD,BN25BE,BR68ND,BS105NB,BS234TQ,CA27HY,CB20QQ,CF144XW,CF311RQ,CF479DT,CH21UL,CH495PE,CM17ET,CO45JL,CT13NG,CV22DX,CW14QJ,DA28DA,DE223NE,DH15TW,DN157BH,DN25LT,DT12JY,DY12HQ,E11BB,EX25DW,EX314JB,FY38NR,GL13NN,GU167UJ,HA13UJ,HP112TT,HR12ER,HU32JZ,HX30PW,IP332QZ,IP45PD,KT160PZ,KT187EG,L355DR,L97AL,LA144LF,LA14RP,LE15WW,LL137TD,LL185UJ,LL572PW,LN25QY,LS13EX,LU40DZ,M68HD,ME169QQ,MK65LD,NE14LP,NE236NZ,NG174JL,NG72UH,NN15BD,NP448YN,NR316LA,NR47UY,NW12BU,OX39DU,PE304ET,PE39GZ,PL68DH,PO196SE,PO305TG,PO63LY,PR29HT,RG15AN,RH15RH,RM70AG,S102JF,S445BL,SA148QF,SA312AF,SA612PZ,SA66NL,SE59RW,SG14AB,SK27JE,SN36BB,SO166YD,SO225DG,SP28BJ,SR47TP,SS00RY,SS165NL,ST46QG,SW170QT,SW66SX,SY231ER,TA15DA,TF16TF,TQ27AA,TR13LQ,TS198PE,TS43BW,WD180HB,WF14DG,WR51DD,WV100QP,YO318HE
B152TH,0,12.1,150.8,235,182,209.4,255.1,162.4,262.9,299.2,272.3,251,129,163.6,314.2,170.8,163.1,190.9,160.7,156.3,168.8,238.7,277.9,302.4,47.5,95.6,234.8,70.1,317.5,194.8,159.7,264.4,17.7,198,247.5,278.6,202.3,80.2,199.1,177.1,143.1,84.4,226.5,194.6,209.8,251.5,184.1,205.6,144.3,158.8,276.8,205.6,75.7,127.4,196.8,247.7,150.8,199.3,141.4,147.7,264,121.8,337.6,351.4,111.7,89.2,101.9,149.3,298.4,258.1,187.8,111.8,199.6,141.4,317.5,264.6,266.4,240.7,179.8,177,218.4,222.3,142.9,125,222.8,248.7,293,209.2,198.2,168.4,140.2,127.4,214.6,194.9,189,327.3,246.5,231.5,71.8,197.2,189.1,196.3,201.5,58.9,277.6,393.9,290.9,286.5,172,182.4,37.8,26.7,220.4
B714HJ,11.8,0,159.2,243.4,175.8,203.3,273.8,156.3,281.6,317.9,291,255.7,137.4,171.9,308.1,172.6,171.4,199.2,169,150.1,162.7,240.5,279.7,304.2,49.3,89.4,236.7,76.7,319.3,196.6,161.5,272.7,12.2,199.8,255.8,286.9,196.2,88.5,217.8,182.5,161.8,92.7,228.3,188.5,211.6,253.3,202.8,224.3,138.1,152.7,270.6,199.5,77.5,121.3,190.7,241.6,152.6,201.1,143.2,141.6,270.3,123.6,339.4,353.2,113.5,91,103.7,157.7,300.2,259.9,196.1,130.5,201.4,143.2,325.8,283.3,285.1,259.4,173.6,195.7,237.1,224.1,144.7,126.8,231.1,257,301.4,217.5,203,170.2,134,135.7,233.3,213.5,197.4,329.1,248.3,233.4,65.7,211.9,207.7,190.2,209.8,52.7,286,402.3,292.7,288.3,173.8,184.2,46.2,15.7,222.2
BA13NG,151.3,159.7,0,64.8,329.5,357,105.8,310,187.4,275.6,248.7,227.3,24.1,74.1,461.8,260.5,84.3,112.1,119.9,303.8,316.4,263.5,302.7,288.6,195.5,243.1,233,229.5,470.2,347.6,312.4,96.6,159.2,190.7,157.9,189,349.9,79.7,152.4,175.1,156.4,123.7,379.2,342.2,308.5,332.3,160.5,182,291.8,306.4,424.3,353.2,223.7,275,344.4,395.3,312.9,352,208.4,295.3,240.4,169.4,490.3,504.1,264.4,241.9,177.1,70.5,397.1,356.8,185.9,118.6,298.3,242.7,227.9,155.3,157,131.4,327.3,123.9,194.8,215.5,295.6,277.8,163.1,188.9,233.3,149.5,187,220.2,287.7,62.6,101.8,110.5,69.2,480,271.2,256.3,219.4,191.1,177.8,222.3,111.9,206.4,188.1,304.4,443.7,439.2,187,335.1,117,174.3,373.1
BA214AT,235.6,244,65.3,0,413.8,441.3,86.2,394.2,206.1,255.2,226.2,241.3,73.3,78.4,546,284.6,158.4,186.2,194,388.1,400.6,287.6,326.8,302.5,279.8,327.4,246.9,313.8,554.5,431.8,396.7,32.6,243.4,214.6,76.6,122.5,434.2,164,152.4,199.1,188.6,197.8,463.5,426.5,332.6,356.4,174.4,195.9,376.1,390.6,508.6,437.4,308,359.3,428.7,479.6,397.2,436.3,232.5,379.6,254.3,260.3,574.6,588.4,348.7,326.2,248.1,144.6,421.2,380.9,209.8,184.8,361.4,326.1,146.6,174,175.7,150.1,411.6,155.9,208.7,239.4,379.9,362,237.1,263,307.4,223.6,210.9,244.3,372,128,120.5,120.1,78.9,564.3,287.3,270.3,303.7,205,201.7,296.4,45.4,290.7,106.8,223,527.9,523.5,211.1,419.4,201.3,258.5,457.4
BB23HH,181.9,176.6,329.1,413.3,0,63,441.7,40.7,449.5,485.8,458.9,420.6,307.4,341.9,165,337.5,341.4,369.2,339,102.8,81.3,405.4,444.6,469.2,214.2,98.8,401.6,168.8,182.3,176.5,144.5,442.7,178.6,364.7,425.8,456.9,53.2,258.5,385.7,347.4,329.7,262.7,187,81.9,376.5,418.2,370.7,392.2,61.3,64.5,127.6,56.4,215.7,120.5,143.4,194.3,207.5,102.5,308.1,55.3,435.2,288.5,202.4,216.2,159.9,181.8,268.6,327.7,405.2,361.2,361,298.4,301,277.6,495.8,451.2,453,427.3,30.6,363.6,405,389,117.8,149,401.1,321,371.5,387.5,367.9,335.1,70.1,305.7,401.2,381.5,367.4,192.1,413.2,398.3,113.2,376.8,375.7,243,379.8,187.4,456,572.2,163.5,159.1,338.7,110.6,216.1,163.9,147.2
BD96RJ,207.9,202.7,355.2,439.4,63.2,0.3,430.6,62.2,420.6,457,430.1,385.9,333.4,368,172.1,262.4,367.5,395.3,365.1,128.9,141.4,330.4,349.4,434.4,201.5,124.8,366.8,137.9,168.2,100.5,68.5,468.8,204.6,330,451.9,483,130.8,284.5,356.8,312.6,318.6,288.7,111,15.2,301.4,343.1,341.9,363.4,97.8,112.3,134.7,134.1,173.1,146.6,169.5,220.4,131.4,18.6,273.3,70.7,400.4,253.8,188.3,202.1,109.9,131.8,233.8,353.7,329.2,285.2,326.2,287.3,225,201.5,521.8,441,453.7,416.2,108.3,352.5,376.2,354.2,71.9,99,427.1,347.1,397.6,413.6,333.2,272.3,73.7,331.8,390,370.3,398.7,178,378.4,363.5,139.3,342.1,334.1,269,405.8,213.5,482,598.3,141.7,137.2,304,34.5,242.2,190,71.2
BH77DW,255.2,276.2,106,86.4,440.7,430.7,0,421.1,132,181.1,152.1,201.5,204.8,161.6,572.9,244.8,255.3,283.1,291,415,427.5,247.8,287,262.7,242.1,354.3,207.1,309.7,535.3,412.6,377.5,51,275.6,174.8,137.4,205.7,461.1,196.4,112.6,159.3,148.9,262.5,444.3,437.8,292.8,316.6,134.6,156.1,403,417.5,535.5,464.4,265.2,386.2,455.6,506.5,354.6,417.1,192.7,406.5,214.5,220.5,555.4,569.2,329.5,307,216.3,241.6,381.4,341.1,170,153,321.6,286.3,207.3,99.9,101.6,76,438.5,116.1,169,199.7,360.7,342.8,334.1,360,404.3,320.5,171.1,204.6,398.9,141.5,46.4,60.3,39.7,545.1,247.6,230.5,330.6,165.2,161.9,393.3,128.6,317.6,167.5,283.8,508.7,504.3,171.3,400.2,234,285.4,438.2
BL97TD,161.4,156.2,308.7,392.9,40.4,55.5,421.3,0.2,429.1,465.4,438.5,400.2,286.9,321.5,196.2,297.2,320.9,348.8,318.6,82.4,94.9,385,384.3,448.7,193.8,78.3,381.1,148.4,203.1,135.3,103.3,422.3,158.1,344.3,405.4,436.5,84.3,238,365.2,327,309.3,242.2,145.8,40.7,336.3,378,350.3,371.8,51.3,65.8,158.8,87.6,195.2,100.1,123,173.8,166.3,61.3,287.6,24.2,414.7,268.1,223.2,237,144.8,166.6,248.2,307.2,364,320,340.5,278,259.9,236.4,475.3,430.8,432.6,406.9,61.8,343.2,384.6,368.5,83.2,133.8,380.6,300.5,351.1,367.1,347.5,314.7,35.5,285.3,380.7,361,346.9,212.9,392.8,377.8,92.8,356.4,355.2,222.5,359.3,167,435.5,551.8,176.5,172.1,318.3,69.4,195.7,143.4,106
BN112DH,262.8,283.8,187.5,206.2,448.4,420.4,131.5,428.8,0,54.3,25.3,102.9,246.2,286.5,580.6,200.5,296.7,324.5,332.4,422.7,435.2,153.1,192.3,164.1,246.8,362,108.5,299,525,402.3,367.2,170.8,283.2,126.4,257.2,312.3,468.7,237.8,104.2,115,124.3,303.9,434,427.5,240.3,221.9,82.5,66.4,410.7,425.2,543.2,472,254.9,393.8,463.2,514.1,344.3,406.8,148.5,414.1,115.9,176.2,545.1,558.9,319.2,296.7,200.4,283,328.8,288.6,103.2,161.1,279.6,242,327.1,32.5,84.9,59.1,446.2,120.2,65.9,133.5,350.4,332.5,375.5,401.4,445.7,361.9,94.1,160.3,406.6,182.9,89.6,101.7,122.4,534.8,148.9,131.9,338.2,94.7,86.5,434.7,235.1,325.3,287.3,403.6,498.4,494,127.1,389.9,280.8,293.1,427.9
BN212UD,299,320,274.4,255.4,484.6,456.7,180.7,465,54.2,0,37.1,88.4,279.8,320.1,616.8,186,330.3,358.2,366,458.9,471.4,138.6,177.8,103.1,283.1,398.2,94,335.2,561.2,438.6,403.4,219.9,319.5,111.9,306.3,361.4,505,271.5,140.4,151.3,160.6,337.5,470.2,463.8,225.8,207.4,118.8,104,446.9,461.4,579.4,508.2,291.2,430.1,499.5,550.4,380.6,443,184.7,450.3,76.6,212.5,581.4,595.1,355.4,333,236.6,316.6,314.3,274.1,118.7,197.4,265.1,252,376.2,81.6,134,108.2,482.4,156.4,81.3,119,386.6,368.8,409.1,435,479.4,395.6,109.5,196.5,442.8,216.6,138.7,150.9,171.6,571,134.4,117.4,374.4,110.1,117.5,468.4,284.3,361.5,336.4,452.7,534.7,530.2,163.3,426.2,317.1,329.3,464.2
