from_postcode,time_nearest_MT,name_nearest_MT
B152TH,0.0,B152TH
B714HJ,18.7,B152TH
B95SS,19.8,B152TH
BA13NG,33.7,BS105NB
BA214AT,74.5,BS105NB
BB23HH,26.2,PR29HT
BD96RJ,25.1,LS13EX
BH77DW,39.1,SO166YD
BL97TD,24.1,M68HD
BN112DH,31.6,BN25BE
BN212UD,40.2,BN25BE
BN25BE,0.0,BN25BE
BR68ND,34.8,SE59RW
BS105NB,0.0,BS105NB
BS234TQ,43.4,BS105NB
BS28HW,16.5,BS105NB
CA27HY,75.6,NE14LP
CB20QQ,0.0,CB20QQ
CF144XW,0.0,CF144XW
CF311RQ,28.4,CF144XW
CF479DT,38.0,CF144XW
CH21UL,42.3,L97AL
CH495PE,27.3,L97AL
CM17ET,36.9,RM70AG
CO45JL,58.4,RM70AG
CT13NG,71.3,RM70AG
CT94AN,88.5,RM70AG
CV107DJ,17.6,CV22DX
CV22DX,0.0,CV22DX
CV345BW,24.1,CV22DX
CW14QJ,29.4,ST46QG
DA28DA,29.4,RM70AG
DE223NE,28.4,NG72UH
DH15TW,27.3,NE14LP
DN157BH,42.3,HU32JZ
DN25LT,33.7,S102JF
DT12JY,67.0,SO166YD
DY12HQ,25.1,B152TH
E11BB,0.0,E11BB
EX25DW,59.5,PL68DH
EX314JB,90.6,PL68DH
FY38NR,25.1,PR29HT
GL13NN,46.6,BS105NB
GU167UJ,45.5,SW66SX
HA13UJ,25.1,NW12BU
HP112TT,34.8,OX39DU
HR12ER,72.4,B152TH
HU32JZ,0.0,HU32JZ
HX30PW,30.5,LS13EX
IP332QZ,45.5,CB20QQ
IP45PD,76.7,CB20QQ
KT160PZ,35.9,SW66SX
KT187EG,26.2,SW170QT
L355DR,18.7,L97AL
L78XP,18.7,L97AL
L97AL,0.0,L97AL
LA144LF,74.5,PR29HT
LA14RP,30.5,PR29HT
LE15WW,31.6,CV22DX
LL137TD,54.1,L97AL
LL185UJ,67.0,L97AL
LL572PW,103.5,L97AL
LN25QY,57.4,NG72UH
LS13EX,0.0,LS13EX
LU40DZ,45.5,NW12BU
M68HD,0.0,M68HD
ME169QQ,48.8,RM70AG
MK429DJ,47.7,CB20QQ
MK65LD,52.0,OX39DU
NE14LP,0.0,NE14LP
NE236NZ,20.8,NE14LP
NG174JL,29.4,NG72UH
NG72UH,0.0,NG72UH
NN15BD,43.4,CV22DX
NP448YN,26.2,CF144XW
NR316LA,105.7,CB20QQ
NR47UY,78.8,CB20QQ
NW12BU,0.0,NW12BU
OX39DU,0.0,OX39DU
PE304ET,64.9,CB20QQ
PE39GZ,56.3,CB20QQ
PL68DH,0.0,PL68DH
PO196SE,47.7,SO166YD
PO305TG,117.5,SO166YD
PO63LY,31.6,SO166YD
PR29HT,0.0,PR29HT
PR86PN,31.6,L97AL
RG15AN,49.8,SW66SX
RH15RH,38.0,SW170QT
RH164EX,36.9,BN25BE
RM70AG,0.0,RM70AG
S102JF,0.0,S102JF
S445BL,27.3,S102JF
S752EP,28.4,S102JF
SA148QF,59.5,CF144XW
SA312AF,76.7,CF144XW
SA612PZ,107.8,CF144XW
SA66NL,52.0,CF144XW
SE59RW,0.0,SE59RW
SG14AB,39.1,CB20QQ
SK27JE,27.3,M68HD
SL24HL,33.7,SW66SX
SN36BB,49.8,BS105NB
SO166YD,0.0,SO166YD
SO225DG,23.0,SO166YD
SP28BJ,35.9,SO166YD
SR47TP,25.1,NE14LP
SS00RY,40.2,RM70AG
SS165NL,27.3,RM70AG
ST46QG,0.0,ST46QG
SW170QT,0.0,SW170QT
SW66SX,0.0,SW66SX
SY231ER,135.8,CF144XW
TA15DA,65.9,BS105NB
TF16TF,46.6,B152TH
TN240LZ,67.0,RM70AG
TQ27AA,52.0,PL68DH
TR13LQ,75.6,PL68DH
TS198PE,46.6,NE14LP
TS43BW,58.4,NE14LP
WD180HB,34.8,NW12BU
WF14DG,24.1,LS13EX
WR51DD,35.9,B152TH
WV100QP,29.4,B152TH
YO318HE,44.5,LS13EX
