Postcode,BNG_E,BNG_N,Latitude,Longitude
RM70AG,551110,187777,51.568622,0.17891397
E11BB,534833,181799,51.519026,-0.058075032
SW66SX,524227,176487,51.473716,-0.21272176
SE59RW,532536,176228,51.469505,-0.093251533
BR68ND,543478,164974,51.365713,0.059625435
HA13UJ,516346,187581,51.575098,-0.32248145
SW170QT,526925,171325,51.426727,-0.17574589
NW12BU,529340,182306,51.524865,-0.13701251
DE223NE,432826,335014,52.911556,-1.5133206
NN15BD,476123,260466,52.237132,-0.88668728
NG72UH,454811,338760,52.943439,-1.1857996
NG51PB,456481,343879,52.989277,-1.16006
NG174JL,451071,359997,53.134692,-1.2380927
LN25QY,499010,371619,53.232388,-0.51814791
PE219QS,533685,345596,52.991023,-0.0097936295
LE15WW,458660,303691,52.627817,-1.1348028
SS165NL,569975,187157,51.557686,0.45055726
MK429DJ,504712,248939,52.128848,-0.47173007
CB20QQ,546375,254988,52.173741,0.13911444
CO45JL,599526,227427,51.909629,0.89936594
SG14AB,522999,226630,51.924611,-0.21272607
IP45PD,619213,245003,52.060012,1.1963461
NR316LA,652093,302477,52.561672,1.7179799
LU40DZ,505086,222836,51.894177,-0.47426894
CM17ET,570191,211310,51.774585,0.46542433
NR47UY,618143,307129,52.618086,1.2210668
PE39GZ,516622,300016,52.585451,-0.28009333
PE304ET,565229,320493,52.756781,0.44699931
SS00RY,586524,187310,51.553836,0.68909337
WD180HB,510485,195678,51.649051,-0.40447202
IP332QZ,585110,262732,52.231662,0.70917557
DE130RB,423313,324460,52.817179,-1.6555278
DY12HQ,392104,289385,52.502306,-2.1177498
CV107DJ,435718,290586,52.511999,-1.4751307
B95SS,411645,286935,52.480218,-1.8299656
WV100QP,393569,300055,52.598247,-2.0963786
B714HJ,400919,292165,52.527357,-1.9878844
TF16TF,365606,312873,52.712417,-2.510547
CV345BW,428525,265839,52.28995,-1.5832152
B152TH,404427,283926,52.453272,-1.9362835
CV22DX,437942,280527,52.421424,-1.4435031
ST46QG,385678,345211,53.004021,-2.2148723
WS29PS,400152,298264,52.582186,-1.9991893
WR51DD,387714,254789,52.191202,-2.1811435
HR12ER,351722,240075,52.056942,-2.7055327
L97AL,338020,397205,53.467918,-2.9351308
CH21UL,340058,368678,53.211767,-2.8990244
CW14QJ,368248,357940,53.117685,-2.4758631
L78XP,335962,390733,53.409506,-2.9648088
PR86PN,335399,415683,53.633665,-2.9784316
L355DR,347861,391845,53.420813,-2.7860133
WA51QG,359484,388746,53.393982,-2.6107326
CH495PE,327212,386557,53.370841,-3.0954486
FY38NR,333195,436523,53.820669,-3.0162645
BB23HH,369305,426794,53.736622,-2.4668058
PR29HT,353495,433014,53.79135,-2.7074034
BL97TD,383200,411579,53.600505,-2.2553361
M68HD,378686,398995,53.487232,-2.3226835
SK27JE,391316,387446,53.383787,-2.1320199
LA144LF,321180,471847,54.136395,-3.2078839
LA14RP,347775,461064,54.042889,-2.7990215
SR47TP,437866,556641,54.903063,-1.4110182
DH15TW,426275,543854,54.788899,-1.5929282
NE96SX,426939,560550,54.938896,-1.5810513
NE14LP,424540,565083,54.979753,-1.6181094
CA27HY,338830,556086,54.895745,-2.9552949
CA288JG,298940,516115,54.530195,-3.5631749
TS198PE,442318,521055,54.582933,-1.3467595
NE236NZ,427587,575599,55.074089,-1.5694923
TS43BW,450919,517709,54.552075,-1.2142736
NE340PL,436591,564288,54.971872,-1.4299296
S752EP,433247,406971,53.558314,-1.4995781
BD96RJ,413606,434418,53.805882,-1.7948794
HX30PW,409519,423218,53.705306,-1.8572797
S445BL,440139,371189,53.236223,-1.4000812
DN25LT,459141,404156,53.530742,-1.1092567
HG27SX,431709,455414,53.993799,-1.5178329
HU32JZ,508369,428810,53.744412,-0.35827125
LS13EX,429621,433998,53.801445,-1.5517436
WF14DG,433875,421914,53.69258,-1.4884777
DN157BH,488341,410921,53.58744,-0.66693886
S602UD,443795,391046,53.414411,-1.3425728
S102JF,433794,386966,53.378472,-1.4934651
YO318HE,460208,453108,53.970547,-1.0836401
KT160PZ,502628,165256,51.377091,-0.52683986
RH164EX,534069,123045,50.991198,-0.091075995
BN25BE,532654,103901,50.819468,-0.11817668
DA28DA,557060,173092,51.435061,0.25816101
CT13NG,615456,156464,51.266589,1.0870832
CT94AN,635967,169786,51.378053,1.3893845
TN240LZ,604090,142068,51.141489,0.91620878
BN212UD,560184,101058,50.786969,0.27110748
KT187EG,520402,159851,51.325026,-0.27340744
GU167UJ,487794,158592,51.31967,-0.74155505
ME169QQ,573362,155654,51.273662,0.48397392
TN24QJ,561472,141407,51.149149,0.30726198
ME75NY,577021,167424,51.378267,0.54221759
GU27XX,497304,150015,51.241025,-0.60746234
RH15RH,528510,148207,51.218607,-0.16128808
PO196SE,486835,105616,50.843562,-0.7680267
BN112DH,515323,103187,50.816758,-0.36432126
GL13NN,383992,218638,51.866088,-2.2338867
SN36BB,418983,182175,51.538161,-1.7276925
BS105NB,358935,177766,51.497333,-2.5929485
EX314JB,256457,134545,51.092201,-4.0511326
PL68DH,249930,59564,50.41672,-4.1136845
TR13LQ,179563,45467,50.267934,-5.0946045
EX25DW,293730,91870,50.716712,-3.5066801
BA13NG,372922,166042,51.392764,-2.3905661
SP28BJ,414831,127199,51.043955,-1.7898225
TA15DA,321541,124218,51.01197,-3.1197783
TQ27AA,289858,65877,50.482325,-3.5537901
BS28HW,358668,173492,51.458886,-2.596293
BS234TQ,332406,158585,51.322335,-2.9713986
BA214AT,355562,116398,50.945297,-2.6339071
HP112TT,486387,192671,51.626235,-0.75341914
SL24HL,498930,182543,51.533136,-0.57512489
MK65LD,486835,237195,52.026383,-0.73579539
OX169AL,445582,239667,52.053522,-1.3366639
OX39DU,453940,207531,51.763871,-1.2198064
RG15AN,472458,173005,51.451402,-0.95864504
DT12JY,368528,90521,50.713461,-2.4471253
SO225DG,446982,129328,51.061375,-1.3309587
PO305TG,449458,90396,50.711101,-1.3008871
BH152JB,401994,91374,50.721987,-1.9731169
PO63LY,465473,105974,50.849589,-1.0713238
BH77DW,412760,94224,50.747482,-1.8205054
SO166YD,439793,114993,50.933019,-1.435104
NP448YN,331159,194636,51.646288,-2.9963314
LL185UJ,300309,376019,53.271755,-3.4963452
LL137TD,332375,350356,53.046173,-3.0101802
LL572PW,255857,370173,53.20902,-4.1598251
CF144XW,317551,179319,51.506764,-3.1893604
CF479DT,304481,208161,51.763954,-3.3855045
CF311RQ,291047,181033,51.517676,-3.5716382
SY231ER,259208,281805,52.416068,-4.0715775
SA148QF,252459,201367,51.691612,-4.1359742
