property,,unit_travel_time,unit_postcode,selected,admissions,relative_frequency,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency,unit_travel_time,unit_postcode,selected,admissions,relative_frequency,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency,utility_shift,utility_shift,mRS shift,mRS shift,mRS 0-2,mRS 0-2
scenario,,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership
subtype,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,mean,std,mean,std,mean,std
lsoa,lsoa_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basingstoke and Deane 003C,E01022499,35.9,SN36BB,1,1.666666667,0.000214141933316202,30,0,60,0,80,0,115.9,0,145.9,0,,,,,-0.501154154382824,0.0,0.09246553903781563,0.0,0.6807698225220166,0.0,1.666666667,0.000214141933316202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
Bath and North East Somerset 001A,E01014399,19.8,BA13NG,1,1.0,0.00012848515996402416,,,,,,,,,,,,,,,,,,,,,,,25.1,BS105NB,1,1.0,0.00014132278123233464,30,,60,,80,,105.1,,135.1,,,,135.1,,-0.9542638439141307,,0.1866873707796725,,0.4632389464727397,,1.0,0.00014132278123233464,,,,,,
Bath and North East Somerset 001B,E01014400,17.6,BA13NG,1,4.0,0.0005139406398560967,30,0,60,0,80,0,97.6,0,127.6,0,191.3,0,251.3,0,-0.570410610997361,0.0,0.1155920242613872,0.0,0.3865063862368824,0.0,4.0,0.0005139406398560967,24.1,BS105NB,1,4.0,0.0005652911249293386,30,0,60,0,80,0,104.1,0,134.1,0,,,,,-0.52719230109543,0.0,0.0969785581024103,0.0,0.6856602522029953,0.0,4.0,0.0005652911249293386,0.01861346615897691,0.0,-0.043218309901930985,0.0,-0.29915386596611293,0.0
Bath and North East Somerset 001C,E01014401,18.7,BA13NG,1,2.333333333,0.00029979870653989467,30,0,60,0,80,0,98.7,0,128.7,,192.4,,252.4,,-0.5669048899665166,,0.1149294838894665,,0.38580020095092876,,2.333333333,0.00029979870653989467,24.1,BS105NB,1,2.333333333,0.0003297531561616733,30,0,60,0,80,0,104.1,0,134.1,0,,,134.1,0.0,-0.8141816426971257,0.24854006044243868,0.15719671423772963,0.0521504529822443,0.5378283794793223,0.1280261572677287,2.333333333,0.0003297531561616733,-0.04226723034826313,0.0521504529822443,0.24727675273060912,0.24854006044243868,-0.1520281785283935,0.1280261572677287
Bath and North East Somerset 002A,E01014402,20.8,BA13NG,1,3.666666667,0.00047111225324425026,30,,60,,80,,100.8,,130.8,,,,,,-0.5344524278283935,,0.09823347024709594,,0.6870206347775829,,3.666666667,0.00047111225324425026,26.2,BS105NB,1,3.666666667,0.0005181835312323347,30,0,60,0,80,0,106.2,0,136.2,0,,,,,-0.52256723755205,0.0,0.09617833471744708,0.0,0.684792889255142,0.0,3.666666667,0.0005181835312323347,0.002055135529648866,0.0,-0.011885190276343494,0.0,0.0022277455224408715,0.0
Bath and North East Somerset 002B,E01014403,18.7,BA13NG,1,5.666666667,0.0007280825731722986,30,0,60,0,80,0,98.7,0,128.7,0,192.4,0,252.4,0,-0.5576257585553871,0.016071927054184438,0.10962979092400953,0.009179337480686858,0.4864950211620151,0.17440854466461495,5.666666667,0.0007280825731722986,25.1,BS105NB,1,5.666666667,0.000800829093697004,30,0,60,0,80,0,105.1,0,135.1,0,,,135.1,0.0,-0.6323087396637364,0.19871500449292157,0.11912008661451289,0.04170343317809895,0.6297452741537781,0.10276993660428012,5.666666667,0.000800829093697004,-0.009490295690503359,0.042701716305372395,0.07468298110834926,0.1993638880285416,-0.14325025299176303,0.20243517560364044
Bath and North East Somerset 002C,E01014404,19.8,BA13NG,1,1.333333333,0.00017131354657587048,30,0,60,0,80,0,99.8,0,129.8,,,,,,-0.5366505671229076,,0.09861312277405798,,0.6874322385683737,,1.333333333,0.00017131354657587048,26.2,BS105NB,1,1.333333333,0.0001884303749293386,30,,60,,80,,106.2,,136.2,,,,136.2,,-0.9505120853297679,,0.18600717650716364,,0.46249825513808857,,1.333333333,0.0001884303749293386,-0.08739405373310566,,0.41386151820686035,,0.2249339834302851,
