property,stroke_team,short_code,ssnap_name,lsoa_code,region,region_code,region_type,country,icb,icb_code,isdn,use_ivt,use_mt,use_msu,transfer_unit_postcode,selected,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,use_ivt,use_mt,use_msu,transfer_unit_postcode,selected,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,utility_shift,utility_shift,mRS shift,mRS shift,mRS 0-2,mRS 0-2
scenario,any,any,any,any,any,any,any,any,any,any,any,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership
subtype,,,,,,,,,,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
postcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA13NG,Royal United Hospital Bath,BA,Royal United Hospital Bath,E01014428,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",E38000231,SICBL,England,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,"Gloucester, BSW, BNSSG and Somerset",1,0,0,nearest,1,30,0,60,0,80,0,104.47966573816156,8.522413072264548,134.9946261682243,8.41596253478202,198.27631578947367,8.430909206325964,258.2763157894737,8.430909206325962,-0.5330683316384622,0.024543704881352893,0.10181798189827335,0.008148433731104118,0.5775299379218859,0.14529898012151551,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008148433731104118,,0.024543704881352893,,0.14529898012151551
BA214AT,Yeovil District Hospital,YE,Yeovil District Hospital,E01029231,NHS Somerset ICB - 11X,E38000150,SICBL,England,NHS Somerset Integrated Care Board,E54000038,"Gloucester, BSW, BNSSG and Somerset",1,0,0,nearest,1,30,0,60,0,80,0,104.22429149797571,9.19992597443808,134.61151315789473,8.947254626954704,238.91574074074074,8.532370051662761,298.9157407407408,8.532370051662769,-0.48857410262275636,0.055053195008312045,0.09333453906614049,0.006152959931493541,0.56852298174627,0.15776086467959954,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006152959931493541,,0.055053195008312045,,0.15776086467959954
BS105NB,North Bristol Hospital (Southmead),NB,North Bristol Hospitals,E01014631,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",E38000222,SICBL,England,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,"Gloucester, BSW, BNSSG and Somerset",1,1,1,nearest,1,30,0,60,0,80,0,99.16686602870813,5.264711601815784,129.24690618762475,5.447327363871352,,,129.3358108108108,5.194921776435487,-0.6667459725728347,0.1996303582761241,0.12583922549970072,0.041824195181112404,0.6225192290602101,0.10075570416216206,1,1,1,nearest,1,30,0,60,0,80,0,124.02702977856961,18.867321811574797,154.59180470793373,18.638143786509147,,,154.93036935704515,18.71351814518686,-0.6111983699640826,0.1951684574135519,0.1163149091681852,0.04073481051227463,0.6047534686008237,0.10632315544775084,0.009524316331515528,0.058383114768044926,-0.055547602608752134,0.27918274788145325,0.01776576045938638,0.14647977780424065
BS234TQ,"Weston General Hospital, Weston-super-Mare",WG,Weston General Hospital,E01014803,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",E38000222,SICBL,England,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,"Gloucester, BSW, BNSSG and Somerset",1,0,0,nearest,1,30,0,60,0,80,0,99.91783088235294,7.58690073017821,129.7718120805369,7.293436748264225,203.85773195876288,7.4210123277806375,263.8577319587629,7.421012327780638,-0.5351960418350504,0.018920078302468512,0.10177162308169557,0.005527476617366283,0.5869633784730153,0.14511578644268722,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005527476617366283,,0.018920078302468512,,0.14511578644268722
EX25DW,Royal Devon and Exeter Hospital,EX,Royal Devon and Exeter Hospital,E01020013,NHS Devon ICB - 15N,E38000230,SICBL,England,NHS Devon Integrated Care Board,E54000037,"Devon, Cornwall and Isles of Scilly",1,0,0,nearest,1,30,0,60,0,80,0,102.52090301003345,9.60933283715195,132.66773255813953,9.625817421106438,222.35504587155964,10.194392850961172,282.35504587155964,10.194392850961163,-0.5121228295591275,0.036582756623134496,0.09737221520352413,0.004507434566581401,0.5850410386586682,0.1489364987419161,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004507434566581401,,0.036582756623134496,,0.1489364987419161
EX314JB,"North Devon District Hospital, Barnstaple",BP,North Devon District Hospital,E01020134,NHS Devon ICB - 15N,E38000230,SICBL,England,NHS Devon Integrated Care Board,E54000037,"Devon, Cornwall and Isles of Scilly",1,0,0,nearest,1,30,0,60,0,80,0,105.05986547085202,11.735026949690026,135.0249042145594,11.634532175085418,255.35102040816324,11.781378324996295,315.35102040816327,11.78137832499628,-0.46686411551065166,0.08048683768066775,0.08939299470693071,0.01073989208390038,0.5579449700155061,0.16452365494746526,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01073989208390038,,0.08048683768066775,,0.16452365494746526
GL13NN,"Gloucestershire Royal Hospital, Gloucester",GL,Gloucestershire Royal Hospital,E01022311,NHS Gloucestershire ICB - 11M,E38000062,SICBL,England,NHS Gloucestershire Integrated Care Board,E54000043,"Gloucester, BSW, BNSSG and Somerset",1,0,0,nearest,1,30,0,60,0,80,0,101.28008356545962,8.182629933523225,131.39429280397022,8.29971480560332,207.7316176470588,8.484763705702841,267.73161764705884,8.48476370570284,-0.5279472016026046,0.022428206076220973,0.10057365704013911,0.005356629760514584,0.5818636771581582,0.14714865906802482,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005356629760514584,,0.022428206076220973,,0.14714865906802482
