property,,transfer_unit_travel_time,selected,selected
scenario,,any,drip-and-ship,mothership
postcode,transfer_unit_postcode,,,
B152TH,B152TH,0.0,0,0
B714HJ,B152TH,18.7,0,
B714HJ,,,,0
B95SS,,,0,0
BA13NG,BS105NB,33.7,1,
BA13NG,,,,0
BA214AT,BS105NB,74.5,1,
BA214AT,,,,0
BB23HH,PR29HT,26.2,0,
BB23HH,,,,0
BD96RJ,LS13EX,25.1,0,
BD96RJ,,,,0
BH152JB,,,0,0
BH77DW,SO166YD,39.1,0,
BH77DW,,,,0
BL97TD,M68HD,24.1,0,
BL97TD,,,,0
BN112DH,BN25BE,31.6,0,
BN112DH,,,,0
BN212UD,BN25BE,40.2,0,
BN212UD,,,,0
BN25BE,BN25BE,0.0,0,0
BR68ND,SE59RW,34.8,0,
BR68ND,,,,0
BS105NB,BS105NB,0.0,1,1
BS234TQ,BS105NB,43.4,1,
BS234TQ,,,,0
BS28HW,,,0,0
CA27HY,NE14LP,75.6,0,
CA27HY,,,,0
CA288JG,,,0,0
CB20QQ,CB20QQ,0.0,0,0
CF144XW,CF144XW,0.0,0,0
CF311RQ,CF144XW,28.4,0,
CF311RQ,,,,0
CF479DT,CF144XW,38.0,0,
CF479DT,,,,0
CH21UL,L97AL,42.3,0,
CH21UL,,,,0
CH495PE,L97AL,27.3,0,
CH495PE,,,,0
CM17ET,RM70AG,36.9,0,
CM17ET,,,,0
CO45JL,RM70AG,58.4,0,
CO45JL,,,,0
CT13NG,RM70AG,71.3,0,
CT13NG,,,,0
CT94AN,,,0,0
CV107DJ,,,0,0
CV22DX,CV22DX,0.0,0,0
CV345BW,,,0,0
CW14QJ,ST46QG,29.4,0,
CW14QJ,,,,0
DA28DA,RM70AG,29.4,0,
DA28DA,,,,0
DE130RB,,,0,0
DE223NE,NG72UH,28.4,0,
DE223NE,,,,0
DH15TW,NE14LP,27.3,0,
DH15TW,,,,0
DN157BH,HU32JZ,42.3,0,
DN157BH,,,,0
DN25LT,S102JF,33.7,0,
DN25LT,,,,0
DT12JY,SO166YD,67.0,0,
DT12JY,,,,0
DY12HQ,B152TH,25.1,0,
DY12HQ,,,,0
E11BB,E11BB,0.0,0,0
EX25DW,PL68DH,59.5,1,
EX25DW,,,,0
EX314JB,PL68DH,90.6,1,
EX314JB,,,,0
FY38NR,PR29HT,25.1,0,
FY38NR,,,,0
GL13NN,BS105NB,46.6,1,
GL13NN,,,,0
GU167UJ,SW66SX,45.5,0,
GU167UJ,,,,0
GU27XX,,,0,0
HA13UJ,NW12BU,25.1,0,
HA13UJ,,,,0
HG27SX,,,0,0
HP112TT,OX39DU,34.8,0,
HP112TT,,,,0
HR12ER,CF144XW,72.4,0,
HR12ER,,,,0
HU32JZ,HU32JZ,0.0,0,0
HX30PW,LS13EX,30.5,0,
HX30PW,,,,0
IP332QZ,CB20QQ,45.5,0,
IP332QZ,,,,0
IP45PD,CB20QQ,76.7,0,
IP45PD,,,,0
KT160PZ,SW66SX,35.9,0,
KT160PZ,,,,0
KT187EG,SW170QT,26.2,0,
KT187EG,,,,0
L355DR,L97AL,18.7,0,
L355DR,,,,0
L78XP,,,0,0
