property,lsoa,lsoa_code,BNG_E,BNG_N,GlobalID,LAT,LONG,geometry,mRS 0-2,mRS 0-2,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,mRS shift,mRS shift,reference_admissions,reference_relative_frequency,selected,time_admitting_unit_arrival,time_admitting_unit_arrival,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_called,time_ambulance_called,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_needle,time_needle,time_puncture,time_puncture,time_transfer_unit_arrival,time_transfer_unit_arrival,unit_postcode,unit_travel_time,utility_shift,utility_shift,mRS 0-2,mRS 0-2,mRS shift,mRS shift,reference_admissions,reference_relative_frequency,selected,time_admitting_unit_arrival,time_admitting_unit_arrival,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_called,time_ambulance_called,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_needle,time_needle,time_puncture,time_puncture,time_transfer_unit_arrival,time_transfer_unit_arrival,unit_postcode,unit_travel_time,utility_shift,utility_shift
scenario,any,any,any,any,any,any,any,any,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership
subtype,,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,mean,std,mean,std,mean,std,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,mean,std
id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Basingstoke and Deane 003C,E01022499,443529,162328,f129c44f-648c-4d6b-bd58-d9a180ca231e,51.35836,-1.37621,"POLYGON ((443621.3263589097 161387.80785026992, 442689.6190414056 161908.86604512183, 443110.4434261879 162729.91132806806, 444038.4910319461 163118.33758976602, 444371.5287847757 162658.5880297199, 443621.3263589097 161387.80785026992))",,0.0,,0.0,,0.0,0.6807698225220166,0.0,-0.501154154382824,0.0,1.666666667,0.0002141419333162,1,115.9,0.0,60.0,0.0,30.0,0.0,80.0,0.0,145.9,0.0,,,,,SN36BB,35.9,0.0924655390378156,0.0,,,,,,,0,,,,,,,,,,,,,,,SO166YD,47.7,,
1,Bath and North East Somerset 001A,E01014399,363866,169049,229c55be-3987-45c9-ad20-d5c379b0ba9b,51.41929,-2.52102,"POLYGON ((364607.8853551032 170098.96782917518, 364776.8891641312 169637.2540376552, 365379.0775488936 170036.79163444834, 365828.7905216349 170148.74916295626, 366137.5860441657 169832.42694168794, 365821.31919491285 168929.8379073239, 365777.3135248527 168888.77842652984, 365570.99380133377 169479.7432510403, 365284.2609197166 169059.56039576704, 364618.9884444715 169529.75359293952, 364427.9948089703 169217.74814320868, 364754.2798171557 168784.97519827547, 364456.25962906366 168258.10902521136, 364749.6036036967 167897.92193067347, 364739.77713344083 167898.71451479197, 364520.83534469426 167999.4255131554, 364038.92867406027 167443.9207655012, 363766.8280119049 167545.72247878043, 364123.10046053096 168673.73896044196, 363426.503839611 168223.4400907124, 362924.4942901635 168450.04264348303, 362961.6640510973 168923.76863721648, 362966.67950318014 168928.0490840348, 362979.27465383493 168935.25803159637, 363295.3929113357 169273.7569722532, 363153.8878783823 169500.46583204722, 363719.4767584254 169811.06396215025, 363512.2698673416 170773.48971510382, 363673.1030300198 170520.85886477568, 364382.20456566854 170169.8299535942, 364607.8853551032 170098.96782917518))",,,,,,,,,,,,,1,,,,,,,,,,,,,,,BA13NG,19.8,,,0.4632389464727397,,-0.9542638439141308,,1.0,0.0001413227812323,1,105.1,,60.0,,30.0,,80.0,,135.1,,135.1,,,,BS105NB,25.1,0.1866873707796725,
2,Bath and North East Somerset 001B,E01014400,365422,168755,aa5f728f-22aa-4486-be9f-9311687bee97,51.41674,-2.49862,"POLYGON ((364999.41177617764 167979.60742140113, 364863.02799157973 168440.859291957, 365237.39836571383 168723.03919346043, 364754.2798171557 168784.97519827547, 364427.9948089703 169217.74814320868, 364618.9884444715 169529.75359293952, 365284.2609197166 169059.56039576704, 365570.99380133377 169479.7432510403, 365777.3135248527 168888.77842652984, 365634.9241372993 168450.7232115029, 364945.7112184976 168312.3205486291, 365034.4478592838 167992.11964315025, 364999.41177617764 167979.60742140113))",-0.2991538659661129,0.0,-0.0432183099019309,0.0,0.0186134661589769,0.0,0.3865063862368824,0.0,-0.570410610997361,0.0,4.0,0.000513940639856,1,97.6,0.0,60.0,0.0,30.0,0.0,80.0,0.0,127.6,0.0,251.3,0.0,191.3,0.0,BA13NG,17.6,0.1155920242613872,0.0,0.6856602522029953,0.0,-0.52719230109543,0.0,4.0,0.0005652911249293,1,104.1,0.0,60.0,0.0,30.0,0.0,80.0,0.0,134.1,0.0,,,,,BS105NB,24.1,0.0969785581024103,0.0
3,Bath and North East Somerset 001C,E01014401,364847,168124,e6663403-8ff5-4c38-8999-2c5d9d796a04,51.41103,-2.50682,"POLYGON ((364999.41177617764 167979.60742140113, 364749.6036036967 167897.92193067347, 364456.25962906366 168258.10902521136, 364754.2798171557 168784.97519827547, 365237.39836571383 168723.03919346043, 364863.02799157973 168440.859291957, 364999.41177617764 167979.60742140113))",-0.1520281785283935,0.1280261572677287,0.2472767527306091,0.2485400604424386,-0.0422672303482631,0.0521504529822443,0.3858002009509287,,-0.5669048899665166,,2.333333333,0.0002997987065398,1,98.7,0.0,60.0,0.0,30.0,0.0,80.0,0.0,128.7,,252.4,,192.4,,BA13NG,18.7,0.1149294838894665,,0.5378283794793223,0.1280261572677287,-0.8141816426971257,0.2485400604424386,2.333333333,0.0003297531561616,1,104.1,0.0,60.0,0.0,30.0,0.0,80.0,0.0,134.1,0.0,134.1,0.0,,,BS105NB,24.1,0.1571967142377296,0.0521504529822443
4,Bath and North East Somerset 002A,E01014402,364528,167377,b3d64a1d-7330-43cc-9288-5b0f3952b47c,51.4043,-2.51133,"POLYGON ((364739.77713344083 167898.71451479197, 365119.78996110044 166861.05082290893, 364163.522433089 166770.7067967177, 364038.92867406027 167443.9207655012, 364520.83534469426 167999.4255131554, 364739.77713344083 167898.71451479197))",0.0022277455224408,0.0,-0.0118851902763434,0.0,0.0020551355296488,0.0,0.6870206347775829,,-0.5344524278283935,,3.666666667,0.0004711122532442,1,100.8,,60.0,,30.0,,80.0,,130.8,,,,,,BA13NG,20.8,0.0982334702470959,,0.684792889255142,0.0,-0.52256723755205,0.0,3.666666667,0.0005181835312323,1,106.2,0.0,60.0,0.0,30.0,0.0,80.0,0.0,136.2,0.0,,,,,BS105NB,26.2,0.096178334717447,0.0
5,Bath and North East Somerset 002B,E01014403,365340,168101,d383a12b-d737-47d3-846a-a44e5c08422f,51.41086,-2.49973,"POLYGON ((365682.17968085816 167961.65511186124, 365384.0802970479 167681.99204739748, 365034.4478592838 167992.11964315025, 364945.7112184976 168312.3205486291, 365634.9241372993 168450.7232115029, 365682.17968085816 167961.65511186124))",-0.143250252991763,0.2024351756036404,0.0746829811083492,0.1993638880285416,-0.0094902956905033,0.0427017163053723,0.4864950211620151,0.1744085446646149,-0.5576257585553871,0.0160719270541844,5.666666667,0.0007280825731722,1,98.7,0.0,60.0,0.0,30.0,0.0,80.0,0.0,128.7,0.0,252.4,0.0,192.4,0.0,BA13NG,18.7,0.1096297909240095,0.0091793374806868,0.6297452741537781,0.1027699366042801,-0.6323087396637364,0.1987150044929215,5.666666667,0.000800829093697,1,105.1,0.0,60.0,0.0,30.0,0.0,80.0,0.0,135.1,0.0,135.1,0.0,,,BS105NB,25.1,0.1191200866145128,0.0417034331780989
6,Bath and North East Somerset 002C,E01014404,365180,167401,3d8e7880-33ac-4ad0-bd50-69227a7e03f2,51.40455,-2.50196,"POLYGON ((365682.17968085816 167961.65511186124, 365680.7850667691 167957.5446389403, 365683.87920632213 167488.3293446597, 365681.82233266055 167471.90514778806, 365596.6428885982 167042.6952078563, 365119.78996110044 166861.05082290893, 364739.77713344083 167898.71451479197, 364749.6036036967 167897.92193067347, 364999.41177617764 167979.60742140113, 365034.4478592838 167992.11964315025, 365384.0802970479 167681.99204739748, 365682.17968085816 167961.65511186124))",0.2249339834302851,,0.4138615182068603,,-0.0873940537331056,,0.6874322385683737,,-0.5366505671229076,,1.333333333,0.0001713135465758,1,99.8,0.0,60.0,0.0,30.0,0.0,80.0,0.0,129.8,,,,,,BA13NG,19.8,0.0986131227740579,,0.4624982551380885,,-0.950512085329768,,1.333333333,0.0001884303749293,1,106.2,,60.0,,30.0,,80.0,,136.2,,136.2,,,,BS105NB,26.2,0.1860071765071636,
