property,postcode,transfer_unit_postcode,transfer_unit_travel_time,selected,selected,BNG_E,BNG_N,Latitude,Longitude,BNG_E_mt,BNG_N_mt,Latitude_mt,Longitude_mt,unit_coords,transfer_coords,line_coords,geometry
scenario,any,any,any,drip-and-ship,mothership,any,any,any,any,any,any,any,any,any,any,any,any
id,,,,,,,,,,,,,,,,,
0,B152TH,B152TH,0.0,0.0,0.0,404427.0,283926.0,52.453272,-1.9362835,404427.0,283926.0,52.453272,-1.9362835,"[404427.0, 283926.0]","[404427.0, 283926.0]","[[404427.0, 283926.0], [404427.0, 283926.0]]","LINESTRING (404427 283926, 404427 283926)"
1,B714HJ,B152TH,18.7,0.0,,400919.0,292165.0,52.527357,-1.9878844,404427.0,283926.0,52.453272,-1.9362835,"[400919.0, 292165.0]","[404427.0, 283926.0]","[[400919.0, 292165.0], [404427.0, 283926.0]]","LINESTRING (400919 292165, 404427 283926)"
2,B714HJ,,,,0.0,400919.0,292165.0,52.527357,-1.9878844,,,,,"[400919.0, 292165.0]","[nan, nan]","[[400919.0, 292165.0], [nan, nan]]","LINESTRING (400919 292165, NaN NaN)"
3,B95SS,,,0.0,0.0,411645.0,286935.0,52.480218,-1.8299656,,,,,"[411645.0, 286935.0]","[nan, nan]","[[411645.0, 286935.0], [nan, nan]]","LINESTRING (411645 286935, NaN NaN)"
4,BA13NG,BS105NB,33.7,1.0,,372922.0,166042.0,51.392764,-2.3905661,358935.0,177766.0,51.497333,-2.5929485,"[372922.0, 166042.0]","[358935.0, 177766.0]","[[372922.0, 166042.0], [358935.0, 177766.0]]","LINESTRING (372922 166042, 358935 177766)"
5,BA13NG,,,,0.0,372922.0,166042.0,51.392764,-2.3905661,,,,,"[372922.0, 166042.0]","[nan, nan]","[[372922.0, 166042.0], [nan, nan]]","LINESTRING (372922 166042, NaN NaN)"
6,BA214AT,BS105NB,74.5,1.0,,355562.0,116398.0,50.945297,-2.6339071,358935.0,177766.0,51.497333,-2.5929485,"[355562.0, 116398.0]","[358935.0, 177766.0]","[[355562.0, 116398.0], [358935.0, 177766.0]]","LINESTRING (355562 116398, 358935 177766)"
7,BA214AT,,,,0.0,355562.0,116398.0,50.945297,-2.6339071,,,,,"[355562.0, 116398.0]","[nan, nan]","[[355562.0, 116398.0], [nan, nan]]","LINESTRING (355562 116398, NaN NaN)"
8,BB23HH,PR29HT,26.2,0.0,,369305.0,426794.0,53.736622,-2.4668058,353495.0,433014.0,53.79135,-2.7074034,"[369305.0, 426794.0]","[353495.0, 433014.0]","[[369305.0, 426794.0], [353495.0, 433014.0]]","LINESTRING (369305 426794, 353495 433014)"
9,BB23HH,,,,0.0,369305.0,426794.0,53.736622,-2.4668058,,,,,"[369305.0, 426794.0]","[nan, nan]","[[369305.0, 426794.0], [nan, nan]]","LINESTRING (369305 426794, NaN NaN)"
10,BD96RJ,LS13EX,25.1,0.0,,413606.0,434418.0,53.805882,-1.7948794,429621.0,433998.0,53.801445,-1.5517436,"[413606.0, 434418.0]","[429621.0, 433998.0]","[[413606.0, 434418.0], [429621.0, 433998.0]]","LINESTRING (413606 434418, 429621 433998)"
11,BD96RJ,,,,0.0,413606.0,434418.0,53.805882,-1.7948794,,,,,"[413606.0, 434418.0]","[nan, nan]","[[413606.0, 434418.0], [nan, nan]]","LINESTRING (413606 434418, NaN NaN)"
12,BH152JB,,,0.0,0.0,401994.0,91374.0,50.721987,-1.9731169,,,,,"[401994.0, 91374.0]","[nan, nan]","[[401994.0, 91374.0], [nan, nan]]","LINESTRING (401994 91374, NaN NaN)"
13,BH77DW,SO166YD,39.1,0.0,,412760.0,94224.0,50.747482,-1.8205054,439793.0,114993.0,50.933019,-1.435104,"[412760.0, 94224.0]","[439793.0, 114993.0]","[[412760.0, 94224.0], [439793.0, 114993.0]]","LINESTRING (412760 94224, 439793 114993)"
14,BH77DW,,,,0.0,412760.0,94224.0,50.747482,-1.8205054,,,,,"[412760.0, 94224.0]","[nan, nan]","[[412760.0, 94224.0], [nan, nan]]","LINESTRING (412760 94224, NaN NaN)"
15,BL97TD,M68HD,24.1,0.0,,383200.0,411579.0,53.600505,-2.2553361,378686.0,398995.0,53.487232,-2.3226835,"[383200.0, 411579.0]","[378686.0, 398995.0]","[[383200.0, 411579.0], [378686.0, 398995.0]]","LINESTRING (383200 411579, 378686 398995)"
16,BL97TD,,,,0.0,383200.0,411579.0,53.600505,-2.2553361,,,,,"[383200.0, 411579.0]","[nan, nan]","[[383200.0, 411579.0], [nan, nan]]","LINESTRING (383200 411579, NaN NaN)"
17,BN112DH,BN25BE,31.6,0.0,,515323.0,103187.0,50.816758,-0.36432126,532654.0,103901.0,50.819468,-0.11817668,"[515323.0, 103187.0]","[532654.0, 103901.0]","[[515323.0, 103187.0], [532654.0, 103901.0]]","LINESTRING (515323 103187, 532654 103901)"
18,BN112DH,,,,0.0,515323.0,103187.0,50.816758,-0.36432126,,,,,"[515323.0, 103187.0]","[nan, nan]","[[515323.0, 103187.0], [nan, nan]]","LINESTRING (515323 103187, NaN NaN)"
19,BN212UD,BN25BE,40.2,0.0,,560184.0,101058.0,50.786969,0.27110748,532654.0,103901.0,50.819468,-0.11817668,"[560184.0, 101058.0]","[532654.0, 103901.0]","[[560184.0, 101058.0], [532654.0, 103901.0]]","LINESTRING (560184 101058, 532654 103901)"
20,BN212UD,,,,0.0,560184.0,101058.0,50.786969,0.27110748,,,,,"[560184.0, 101058.0]","[nan, nan]","[[560184.0, 101058.0], [nan, nan]]","LINESTRING (560184 101058, NaN NaN)"
21,BN25BE,BN25BE,0.0,0.0,0.0,532654.0,103901.0,50.819468,-0.11817668,532654.0,103901.0,50.819468,-0.11817668,"[532654.0, 103901.0]","[532654.0, 103901.0]","[[532654.0, 103901.0], [532654.0, 103901.0]]","LINESTRING (532654 103901, 532654 103901)"
