property,,unit_travel_time,unit_postcode,selected,admissions,relative_frequency,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency
subtype,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,
lsoa,lsoa_code,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basingstoke and Deane 003C,E01022499,35.9,SN36BB,1,1.666666667,0.000214141933316202,30.0,0.0,60.0,0.0,80.0,0.0,115.9,0.0,145.9,0.0,,,,,-0.501154154382824,0.0,0.09246553903781563,0.0,0.6807698225220166,0.0,1.666666667,0.000214141933316202
Bath and North East Somerset 001A,E01014399,19.8,BA13NG,1,1.0,0.00012848515996402416,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 001B,E01014400,17.6,BA13NG,1,4.0,0.0005139406398560967,30.0,0.0,60.0,0.0,80.0,0.0,97.6,0.0,127.6,0.0,191.3,0.0,251.3,0.0,-0.570410610997361,0.0,0.1155920242613872,0.0,0.3865063862368824,0.0,4.0,0.0005139406398560967
Bath and North East Somerset 001C,E01014401,18.7,BA13NG,1,2.333333333,0.00029979870653989467,30.0,0.0,60.0,0.0,80.0,0.0,98.7,0.0,128.7,,192.4,,252.4,,-0.5669048899665166,,0.1149294838894665,,0.38580020095092876,,2.333333333,0.00029979870653989467
Bath and North East Somerset 002A,E01014402,20.8,BA13NG,1,3.666666667,0.00047111225324425026,30.0,,60.0,,80.0,,100.8,,130.8,,,,,,-0.5344524278283935,,0.09823347024709594,,0.6870206347775829,,3.666666667,0.00047111225324425026
Bath and North East Somerset 002B,E01014403,18.7,BA13NG,1,5.666666667,0.0007280825731722986,30.0,0.0,60.0,0.0,80.0,0.0,98.7,0.0,128.7,0.0,192.4,0.0,252.4,0.0,-0.5576257585553871,0.016071927054184438,0.10962979092400953,0.009179337480686858,0.4864950211620151,0.17440854466461495,5.666666667,0.0007280825731722986
Bath and North East Somerset 002C,E01014404,19.8,BA13NG,1,1.333333333,0.00017131354657587048,30.0,0.0,60.0,0.0,80.0,0.0,99.8,0.0,129.8,,,,,,-0.5366505671229076,,0.09861312277405798,,0.6874322385683737,,1.333333333,0.00017131354657587048
Bath and North East Somerset 003A,E01014395,17.6,BA13NG,1,1.0,0.00012848515996402416,30.0,,60.0,,80.0,,97.6,,,,,,,,,,,,,,1.0,0.00012848515996402416
