lsoa,lsoa_code,unit_travel_time,unit_postcode,selected,admissions,relative_frequency
Basingstoke and Deane 003C,E01022499,35.9,SN36BB,1,1.666666667,0.000214141933316202
Bath and North East Somerset 001A,E01014399,19.8,BA13NG,1,1.0,0.00012848515996402416
Bath and North East Somerset 001B,E01014400,17.6,BA13NG,1,4.0,0.0005139406398560967
Bath and North East Somerset 001C,E01014401,18.7,BA13NG,1,2.333333333,0.00029979870653989467
Bath and North East Somerset 002A,E01014402,20.8,BA13NG,1,3.666666667,0.00047111225324425026
Bath and North East Somerset 002B,E01014403,18.7,BA13NG,1,5.666666667,0.0007280825731722986
Bath and North East Somerset 002C,E01014404,19.8,BA13NG,1,1.333333333,0.00017131354657587048
Bath and North East Somerset 003A,E01014395,17.6,BA13NG,1,1.0,0.00012848515996402416
Bath and North East Somerset 003B,E01014396,16.5,BA13NG,1,2.666666667,0.0003426270932802261
Bath and North East Somerset 003C,E01014397,18.7,BA13NG,1,1.333333333,0.00017131354657587048
Bath and North East Somerset 003D,E01014398,17.6,BA13NG,1,1.333333333,0.00017131354657587048
Bath and North East Somerset 004A,E01014409,15.5,BA13NG,1,1.666666667,0.000214141933316202
Bath and North East Somerset 004B,E01014410,14.4,BA13NG,1,2.0,0.00025697031992804833
Bath and North East Somerset 004C,E01014411,15.5,BA13NG,1,2.666666667,0.0003426270932802261
Bath and North East Somerset 005A,E01014477,9.0,BA13NG,1,3.333333333,0.0004282838665039188
Bath and North East Somerset 005B,E01014478,7.9,BA13NG,1,2.0,0.00025697031992804833
Bath and North East Somerset 005C,E01014479,7.9,BA13NG,1,4.666666667,0.0005995974132082745
Bath and North East Somerset 005D,E01014480,6.9,BA13NG,1,2.333333333,0.00029979870653989467
Bath and North East Somerset 006A,E01014465,13.3,BA13NG,1,0.333333333,4.2828386611846335e-05
Bath and North East Somerset 006B,E01014466,13.3,BA13NG,1,1.0,0.00012848515996402416
Bath and North East Somerset 006C,E01014467,13.3,BA13NG,1,2.666666667,0.0003426270932802261
Bath and North East Somerset 006D,E01014468,13.3,BA13NG,1,1.0,0.00012848515996402416
Bath and North East Somerset 007A,E01014370,12.2,BA13NG,1,3.666666667,0.00047111225324425026
Bath and North East Somerset 007B,E01014371,11.2,BA13NG,1,2.333333333,0.00029979870653989467
Bath and North East Somerset 007C,E01014372,11.2,BA13NG,1,1.666666667,0.000214141933316202
Bath and North East Somerset 007D,E01014412,12.2,BA13NG,1,3.0,0.00038545547989207247
Bath and North East Somerset 007E,E01014413,13.3,BA13NG,1,2.666666667,0.0003426270932802261
Bath and North East Somerset 007F,E01014414,11.2,BA13NG,1,2.333333333,0.00029979870653989467
Bath and North East Somerset 008A,E01014427,6.9,BA13NG,1,0.666666667,8.565677335217782e-05
Bath and North East Somerset 008B,E01014428,6.9,BA13NG,1,0.333333333,4.2828386611846335e-05
Bath and North East Somerset 008C,E01014429,7.9,BA13NG,1,1.333333333,0.00017131354657587048
Bath and North East Somerset 008D,E01014430,7.9,BA13NG,1,3.0,0.00038545547989207247
Bath and North East Somerset 009A,E01014405,7.9,BA13NG,1,2.666666667,0.0003426270932802261
Bath and North East Somerset 009C,E01014407,10.1,BA13NG,1,1.0,0.00012848515996402416
Bath and North East Somerset 009E,E01033080,10.1,BA13NG,1,1.666666667,0.000214141933316202
Bath and North East Somerset 010A,E01014373,17.6,BA13NG,1,3.666666667,0.00047111225324425026
Bath and North East Somerset 010B,E01014374,17.6,BA13NG,1,5.333333333,0.000685254186431967
Bath and North East Somerset 010C,E01014375,19.8,BA13NG,1,2.333333333,0.00029979870653989467
Bath and North East Somerset 010D,E01014376,17.6,BA13NG,1,3.0,0.00038545547989207247
Bath and North East Somerset 010E,E01014377,16.5,BA13NG,1,2.333333333,0.00029979870653989467
Bath and North East Somerset 010G,E01033078,18.7,BA13NG,1,2.666666667,0.0003426270932802261
Bath and North East Somerset 010H,E01033079,18.7,BA13NG,1,0.0,0.0
Bath and North East Somerset 011A,E01014461,10.1,BA13NG,1,1.0,0.00012848515996402416
Bath and North East Somerset 011B,E01014462,11.2,BA13NG,1,1.333333333,0.00017131354657587048
Bath and North East Somerset 011C,E01014463,11.2,BA13NG,1,2.666666667,0.0003426270932802261
Bath and North East Somerset 011D,E01014464,10.1,BA13NG,1,2.0,0.00025697031992804833
Bath and North East Somerset 012A,E01014380,15.5,BA13NG,1,2.0,0.00025697031992804833
Bath and North East Somerset 012B,E01014381,13.3,BA13NG,1,3.0,0.00038545547989207247
Bath and North East Somerset 012C,E01014481,10.1,BA13NG,1,2.0,0.00025697031992804833
Bath and North East Somerset 012D,E01014482,12.2,BA13NG,1,1.0,0.00012848515996402416
Bath and North East Somerset 012E,E01014483,10.1,BA13NG,1,2.0,0.00025697031992804833
Bath and North East Somerset 012F,E01014484,9.0,BA13NG,1,0.666666667,8.565677335217782e-05
Bath and North East Somerset 013A,E01014473,9.0,BA13NG,1,1.0,0.00012848515996402416
Bath and North East Somerset 013B,E01014474,9.0,BA13NG,1,1.0,0.00012848515996402416
Bath and North East Somerset 013C,E01014475,7.9,BA13NG,1,0.333333333,4.2828386611846335e-05
Bath and North East Somerset 013D,E01014476,11.2,BA13NG,1,0.333333333,4.2828386611846335e-05
Bath and North East Somerset 014A,E01014435,10.1,BA13NG,1,0.0,0.0
Bath and North East Somerset 014B,E01014436,10.1,BA13NG,1,2.0,0.00025697031992804833
Bath and North East Somerset 014C,E01014437,12.2,BA13NG,1,2.0,0.00025697031992804833
Bath and North East Somerset 014D,E01014438,12.2,BA13NG,1,0.666666667,8.565677335217782e-05
Bath and North East Somerset 015A,E01014455,11.2,BA13NG,1,1.666666667,0.000214141933316202
Bath and North East Somerset 015B,E01014456,12.2,BA13NG,1,2.666666667,0.0003426270932802261
Bath and North East Somerset 015C,E01014457,10.1,BA13NG,1,2.0,0.00025697031992804833
Bath and North East Somerset 015D,E01014458,11.2,BA13NG,1,1.0,0.00012848515996402416
Bath and North East Somerset 016A,E01014391,17.6,BA13NG,1,1.666666667,0.000214141933316202
Bath and North East Somerset 016B,E01014392,17.6,BA13NG,1,1.666666667,0.000214141933316202
Bath and North East Somerset 016C,E01014452,13.3,BA13NG,1,2.666666667,0.0003426270932802261
Bath and North East Somerset 016D,E01014453,13.3,BA13NG,1,4.0,0.0005139406398560967
Bath and North East Somerset 016E,E01014454,14.4,BA13NG,1,2.0,0.00025697031992804833
Bath and North East Somerset 016F,E01014459,19.8,BA13NG,1,1.666666667,0.000214141933316202
