postcode,transfer_unit_travel_time,transfer_unit_postcode,selected
SY231ER,135.8,CF144XW,0
CB20QQ,0.0,CB20QQ,0
L97AL,0.0,L97AL,0
CH495PE,27.3,L97AL,0
BA13NG,33.7,BS105NB,1
BD96RJ,25.1,LS13EX,0
MK429DJ,,,0
CM17ET,36.9,RM70AG,0
BN25BE,0.0,BN25BE,0
FY38NR,25.1,PR29HT,0
B95SS,,,0
S752EP,,,0
BH77DW,39.1,SO166YD,0
EX314JB,90.6,PL68DH,1
BS28HW,,,0
SS165NL,27.3,RM70AG,0
CF144XW,0.0,CF144XW,0
SW66SX,0.0,SW66SX,0
S445BL,27.3,S102JF,0
CH21UL,42.3,L97AL,0
HX30PW,30.5,LS13EX,0
CO45JL,58.4,RM70AG,0
CA27HY,75.6,NE14LP,0
CV22DX,0.0,CV22DX,0
DA28DA,29.4,RM70AG,0
DN25LT,33.7,S102JF,0
DE223NE,28.4,NG72UH,0
PL68DH,0.0,PL68DH,1
DT12JY,67.0,SO166YD,0
BN212UD,40.2,BN25BE,0
BB23HH,26.2,PR29HT,0
KT187EG,26.2,SW170QT,0
RH15RH,38.0,SW170QT,0
EX25DW,59.5,PL68DH,1
LA144LF,74.5,PR29HT,0
GU167UJ,45.5,SW66SX,0
LL185UJ,67.0,L97AL,0
CV107DJ,,,0
GL13NN,46.6,BS105NB,1
NP448YN,26.2,CF144XW,0
GU27XX,,,0
SN36BB,49.8,BS105NB,1
HG27SX,,,0
HR12ER,72.4,CF144XW,0
RH164EX,,,0
OX169AL,,,0
HU32JZ,0.0,HU32JZ,0
RM70AG,0.0,RM70AG,0
IP45PD,76.7,CB20QQ,0
TS43BW,0.0,TS43BW,0
NR316LA,105.7,CB20QQ,0
OX39DU,0.0,OX39DU,0
SE59RW,0.0,SE59RW,0
NG174JL,29.4,NG72UH,0
CT13NG,71.3,RM70AG,0
PR29HT,0.0,PR29HT,0
LN25QY,57.4,NG72UH,0
LS13EX,0.0,LS13EX,0
LE15WW,31.6,CV22DX,0
CW14QJ,29.4,ST46QG,0
SG14AB,39.1,CB20QQ,0
LU40DZ,45.5,NW12BU,0
L78XP,,,0
LL137TD,54.1,L97AL,0
LA14RP,30.5,PR29HT,0
ME169QQ,48.8,RM70AG,0
MK65LD,52.0,OX39DU,0
WS29PS,,,0
SA66NL,52.0,CF144XW,0
TA15DA,65.9,BS105NB,1
ME75NY,,,0
BS105NB,0.0,BS105NB,1
WV100QP,29.4,B152TH,0
DH15TW,27.3,NE14LP,0
NR47UY,78.8,CB20QQ,0
NN15BD,43.4,CV22DX,0
NG51PB,,,0
NE236NZ,20.8,NE14LP,0
TS198PE,21.9,TS43BW,0
HA13UJ,25.1,NW12BU,0
CF479DT,38.0,CF144XW,0
BL97TD,24.1,M68HD,0
PE219QS,,,0
WF14DG,24.1,LS13EX,0
BH152JB,,,0
SA148QF,59.5,CF144XW,0
BR68ND,34.8,SE59RW,0
PE39GZ,56.3,CB20QQ,0
CF311RQ,28.4,CF144XW,0
PO63LY,31.6,SO166YD,0
DE130RB,,,0
B152TH,0.0,B152TH,0
NE96SX,,,0
PE304ET,64.9,CB20QQ,0
CT94AN,,,0
NG72UH,0.0,NG72UH,0
RG15AN,49.8,SW66SX,0
NP202UB,,,0
DY12HQ,25.1,B152TH,0
E11BB,0.0,E11BB,0
ST46QG,0.0,ST46QG,0
S602UD,,,0
NE14LP,0.0,NE14LP,0
M68HD,0.0,M68HD,0
DN157BH,42.3,HU32JZ,0
SS00RY,40.2,RM70AG,0
PR86PN,,,0
SW170QT,0.0,SW170QT,0
S102JF,0.0,S102JF,0
SK27JE,27.3,M68HD,0
PO305TG,117.5,SO166YD,0
SO166YD,0.0,SO166YD,0
KT160PZ,35.9,SW66SX,0
PO196SE,47.7,SO166YD,0
SP28BJ,35.9,SO166YD,1
NE340PL,,,0
SR47TP,25.1,NE14LP,0
B714HJ,18.7,B152TH,0
TQ27AA,52.0,PL68DH,1
TF16TF,46.6,B152TH,0
TR13LQ,75.6,PL68DH,1
TN24QJ,,,0
NW12BU,0.0,NW12BU,0
WA51QG,,,0
SA612PZ,107.8,CF144XW,0
CA288JG,,,0
BS234TQ,43.4,BS105NB,1
TN240LZ,,,0
SO225DG,23.0,SO166YD,0
CV345BW,,,0
BN112DH,31.6,BN25BE,0
L355DR,18.7,L97AL,0
WR51DD,35.9,B152TH,0
IP332QZ,45.5,CB20QQ,0
WD180HB,34.8,NW12BU,0
SA312AF,76.7,CF144XW,0
SL24HL,,,0
HP112TT,34.8,OX39DU,0
BA214AT,74.5,BS105NB,1
YO318HE,44.5,LS13EX,0
LL572PW,103.5,L97AL,0
