lsoa,lsoa_code,unit_travel_time,unit_postcode,selected,admissions,relative_frequency
Bath and North East Somerset 001A,E01014399,25.1,BS105NB,1,1.0,0.00014132278123233464
Bath and North East Somerset 001B,E01014400,24.1,BS105NB,1,4.0,0.0005652911249293386
Bath and North East Somerset 001C,E01014401,24.1,BS105NB,1,2.333333333,0.0003297531561616733
Bath and North East Somerset 002A,E01014402,26.2,BS105NB,1,3.666666667,0.0005181835312323347
Bath and North East Somerset 002B,E01014403,25.1,BS105NB,1,5.666666667,0.000800829093697004
Bath and North East Somerset 002C,E01014404,26.2,BS105NB,1,1.333333333,0.0001884303749293386
Bath and North East Somerset 003A,E01014395,28.4,BS105NB,1,1.0,0.00014132278123233464
Bath and North East Somerset 003B,E01014396,25.1,BS105NB,1,2.666666667,0.00037686075
Bath and North East Somerset 003C,E01014397,27.3,BS105NB,1,1.333333333,0.0001884303749293386
Bath and North East Somerset 003D,E01014398,26.2,BS105NB,1,1.333333333,0.0001884303749293386
Bath and North East Somerset 004A,E01014409,32.6,BS105NB,1,1.666666667,0.00023553796876766536
Bath and North East Somerset 004B,E01014410,33.7,BS105NB,1,2.0,0.0002826455624646693
Bath and North East Somerset 004C,E01014411,32.6,BS105NB,1,2.666666667,0.00037686075
Bath and North East Somerset 005A,E01014477,33.7,BS105NB,1,3.333333333,0.00047107593739400795
Bath and North East Somerset 005B,E01014478,33.7,BS105NB,1,2.0,0.0002826455624646693
Bath and North East Somerset 005C,E01014479,34.8,BS105NB,1,4.666666667,0.0006595063124646694
Bath and North East Somerset 005D,E01014480,32.6,BS105NB,1,2.333333333,0.0003297531561616733
Bath and North East Somerset 006A,E01014465,33.7,BS105NB,1,0.333333333,4.710759369700396e-05
Bath and North East Somerset 006B,E01014466,34.8,BS105NB,1,1.0,0.00014132278123233464
Bath and North East Somerset 006C,E01014467,32.6,BS105NB,1,2.666666667,0.00037686075
Bath and North East Somerset 006D,E01014468,36.9,BS105NB,1,1.0,0.00014132278123233464
Bath and North East Somerset 007A,E01014370,36.9,BS105NB,1,3.666666667,0.0005181835312323347
Bath and North East Somerset 007B,E01014371,35.9,BS105NB,1,2.333333333,0.0003297531561616733
Bath and North East Somerset 007C,E01014372,35.9,BS105NB,1,1.666666667,0.00023553796876766536
Bath and North East Somerset 007D,E01014412,36.9,BS105NB,1,3.0,0.00042396834369700395
Bath and North East Somerset 007E,E01014413,36.9,BS105NB,1,2.666666667,0.00037686075
Bath and North East Somerset 007F,E01014414,35.9,BS105NB,1,2.333333333,0.0003297531561616733
Bath and North East Somerset 008A,E01014427,31.6,BS105NB,1,0.666666667,9.42151875353307e-05
Bath and North East Somerset 008B,E01014428,32.6,BS105NB,1,0.333333333,4.710759369700396e-05
Bath and North East Somerset 008C,E01014429,31.6,BS105NB,1,1.333333333,0.0001884303749293386
Bath and North East Somerset 008D,E01014430,31.6,BS105NB,1,3.0,0.00042396834369700395
Bath and North East Somerset 009A,E01014405,33.7,BS105NB,1,2.666666667,0.00037686075
Bath and North East Somerset 009C,E01014407,33.7,BS105NB,1,1.0,0.00014132278123233464
Bath and North East Somerset 009E,E01033080,35.9,BS105NB,1,1.666666667,0.00023553796876766536
Bath and North East Somerset 010A,E01014373,33.7,BS105NB,1,3.666666667,0.0005181835312323347
Bath and North East Somerset 010B,E01014374,33.7,BS105NB,1,5.333333333,0.0007537214998586772
Bath and North East Somerset 010C,E01014375,31.6,BS105NB,1,2.333333333,0.0003297531561616733
Bath and North East Somerset 010D,E01014376,33.7,BS105NB,1,3.0,0.00042396834369700395
Bath and North East Somerset 010E,E01014377,35.9,BS105NB,1,2.333333333,0.0003297531561616733
Bath and North East Somerset 010G,E01033078,41.2,BS105NB,1,2.666666667,0.00037686075
Bath and North East Somerset 010H,E01033079,39.1,BS105NB,1,0.0,0.0
Bath and North East Somerset 011A,E01014461,33.7,BS105NB,1,1.0,0.00014132278123233464
Bath and North East Somerset 011B,E01014462,31.6,BS105NB,1,1.333333333,0.0001884303749293386
Bath and North East Somerset 011C,E01014463,31.6,BS105NB,1,2.666666667,0.00037686075
Bath and North East Somerset 011D,E01014464,31.6,BS105NB,1,2.0,0.0002826455624646693
Bath and North East Somerset 012A,E01014380,38.0,BS105NB,1,2.0,0.0002826455624646693
Bath and North East Somerset 012B,E01014381,36.9,BS105NB,1,3.0,0.00042396834369700395
Bath and North East Somerset 012C,E01014481,34.8,BS105NB,1,2.0,0.0002826455624646693
Bath and North East Somerset 012D,E01014482,36.9,BS105NB,1,1.0,0.00014132278123233464
Bath and North East Somerset 012E,E01014483,34.8,BS105NB,1,2.0,0.0002826455624646693
Bath and North East Somerset 012F,E01014484,33.7,BS105NB,1,0.666666667,9.42151875353307e-05
Bath and North East Somerset 013A,E01014473,33.7,BS105NB,1,1.0,0.00014132278123233464
Bath and North East Somerset 013B,E01014474,32.6,BS105NB,1,1.0,0.00014132278123233464
Bath and North East Somerset 013C,E01014475,32.6,BS105NB,1,0.333333333,4.710759369700396e-05
Bath and North East Somerset 013D,E01014476,33.7,BS105NB,1,0.333333333,4.710759369700396e-05
Bath and North East Somerset 014A,E01014435,34.8,BS105NB,1,0.0,0.0
Bath and North East Somerset 014B,E01014436,34.8,BS105NB,1,2.0,0.0002826455624646693
Bath and North East Somerset 014C,E01014437,34.8,BS105NB,1,2.0,0.0002826455624646693
Bath and North East Somerset 014D,E01014438,33.7,BS105NB,1,0.666666667,9.42151875353307e-05
Bath and North East Somerset 015A,E01014455,32.6,BS105NB,1,1.666666667,0.00023553796876766536
Bath and North East Somerset 015B,E01014456,33.7,BS105NB,1,2.666666667,0.00037686075
Bath and North East Somerset 015C,E01014457,33.7,BS105NB,1,2.0,0.0002826455624646693
Bath and North East Somerset 015D,E01014458,33.7,BS105NB,1,1.0,0.00014132278123233464
Bath and North East Somerset 016A,E01014391,33.7,BS105NB,1,1.666666667,0.00023553796876766536
Bath and North East Somerset 016B,E01014392,31.6,BS105NB,1,1.666666667,0.00023553796876766536
Bath and North East Somerset 016C,E01014452,26.2,BS105NB,1,2.666666667,0.00037686075
Bath and North East Somerset 016D,E01014453,27.3,BS105NB,1,4.0,0.0005652911249293386
Bath and North East Somerset 016E,E01014454,26.2,BS105NB,1,2.0,0.0002826455624646693
Bath and North East Somerset 016F,E01014459,36.9,BS105NB,1,1.666666667,0.00023553796876766536
Bath and North East Somerset 016G,E01014460,35.9,BS105NB,1,3.0,0.00042396834369700395
Bath and North East Somerset 017A,E01014415,35.9,BS105NB,1,2.666666667,0.00037686075
Bath and North East Somerset 017B,E01014416,34.8,BS105NB,1,4.333333333,0.0006123987186263426
Bath and North East Somerset 017C,E01014417,35.9,BS105NB,1,4.0,0.0005652911249293386
Bath and North East Somerset 018A,E01014387,38.0,BS105NB,1,1.666666667,0.00023553796876766536
Bath and North East Somerset 018B,E01014388,39.1,BS105NB,1,2.666666667,0.00037686075
Bath and North East Somerset 018C,E01014389,39.1,BS105NB,1,2.0,0.0002826455624646693
Bath and North East Somerset 018D,E01014390,38.0,BS105NB,1,1.333333333,0.0001884303749293386
Bath and North East Somerset 019A,E01014431,33.7,BS105NB,1,1.333333333,0.0001884303749293386
Bath and North East Somerset 019B,E01014432,34.8,BS105NB,1,2.666666667,0.00037686075
Bath and North East Somerset 019C,E01014433,36.9,BS105NB,1,1.0,0.00014132278123233464
Bath and North East Somerset 019D,E01014434,33.7,BS105NB,1,1.666666667,0.00023553796876766536
Bath and North East Somerset 020A,E01014385,30.5,BS105NB,1,1.333333333,0.0001884303749293386
Bath and North East Somerset 020B,E01014386,32.6,BS105NB,1,1.0,0.00014132278123233464
Bath and North East Somerset 020C,E01014419,33.7,BS105NB,1,3.0,0.00042396834369700395
Bath and North East Somerset 020D,E01014446,27.3,BS105NB,1,0.666666667,9.42151875353307e-05
Bath and North East Somerset 020E,E01014447,24.1,BS105NB,1,2.666666667,0.00037686075
Bath and North East Somerset 021A,E01014382,33.7,BS105NB,1,4.333333333,0.0006123987186263426
Bath and North East Somerset 021B,E01014383,36.9,BS105NB,1,1.666666667,0.00023553796876766536
Bath and North East Somerset 021C,E01014384,33.7,BS105NB,1,1.666666667,0.00023553796876766536
Bath and North East Somerset 021D,E01014418,39.1,BS105NB,1,0.666666667,9.42151875353307e-05
Bath and North East Somerset 022A,E01014379,36.9,BS105NB,1,3.0,0.00042396834369700395
Bath and North East Somerset 022B,E01014442,41.2,BS105NB,1,2.0,0.0002826455624646693
Bath and North East Somerset 022C,E01014443,41.2,BS105NB,1,2.0,0.0002826455624646693
Bath and North East Somerset 022D,E01014444,41.2,BS105NB,1,3.333333333,0.00047107593739400795
Bath and North East Somerset 022E,E01014445,43.4,BS105NB,1,1.666666667,0.00023553796876766536
Bath and North East Somerset 023A,E01014393,35.9,BS105NB,1,2.666666667,0.00037686075
Bath and North East Somerset 023B,E01014394,35.9,BS105NB,1,3.333333333,0.00047107593739400795
Bath and North East Somerset 023C,E01014439,40.2,BS105NB,1,6.333333333,0.0008950442810910118
Bath and North East Somerset 023D,E01014440,38.0,BS105NB,1,2.666666667,0.00037686075
Bath and North East Somerset 023E,E01014441,40.2,BS105NB,1,2.333333333,0.0003297531561616733
Bath and North East Somerset 024A,E01014448,42.3,BS105NB,1,3.666666667,0.0005181835312323347
Bath and North East Somerset 024B,E01014449,45.5,BS105NB,1,0.666666667,9.42151875353307e-05
Bath and North East Somerset 024C,E01014450,45.5,BS105NB,1,1.666666667,0.00023553796876766536
Bath and North East Somerset 024D,E01014451,44.5,BS105NB,1,0.333333333,4.710759369700396e-05
Bath and North East Somerset 025A,E01014420,41.2,BS105NB,1,2.0,0.0002826455624646693
Bath and North East Somerset 025B,E01014421,40.2,BS105NB,1,1.333333333,0.0001884303749293386
Bath and North East Somerset 025C,E01014422,40.2,BS105NB,1,3.666666667,0.0005181835312323347
Bath and North East Somerset 025D,E01014423,41.2,BS105NB,1,0.666666667,9.42151875353307e-05
Bath and North East Somerset 026A,E01014469,45.5,BS105NB,1,2.333333333,0.0003297531561616733
Bath and North East Somerset 026B,E01014470,45.5,BS105NB,1,2.0,0.0002826455624646693
Bath and North East Somerset 026C,E01014471,44.5,BS105NB,1,0.333333333,4.710759369700396e-05
Bath and North East Somerset 026D,E01014472,43.4,BS105NB,1,1.333333333,0.0001884303749293386
Bath and North East Somerset 027A,E01014424,42.3,BS105NB,1,3.0,0.00042396834369700395
