postcode,transfer_unit_travel_time,transfer_unit_postcode,selected
SY231ER,,,0
CB20QQ,0.0,CB20QQ,0
L97AL,0.0,L97AL,0
CH495PE,,,0
BA13NG,,,0
BD96RJ,,,0
MK429DJ,,,0
CM17ET,,,0
BN25BE,0.0,BN25BE,0
FY38NR,,,0
B95SS,,,0
S752EP,,,0
BH77DW,,,0
EX314JB,,,0
BS28HW,,,0
SS165NL,,,0
CF144XW,0.0,CF144XW,0
SW66SX,0.0,SW66SX,0
S445BL,,,0
CH21UL,,,0
HX30PW,,,0
CO45JL,,,0
CA27HY,,,0
CV22DX,0.0,CV22DX,0
DA28DA,,,0
DN25LT,,,0
DE223NE,,,0
PL68DH,0.0,PL68DH,1
DT12JY,,,0
BN212UD,,,0
BB23HH,,,0
KT187EG,,,0
RH15RH,,,0
EX25DW,,,0
LA144LF,,,0
GU167UJ,,,0
LL185UJ,,,0
CV107DJ,,,0
GL13NN,,,0
NP448YN,,,0
GU27XX,,,0
SN36BB,,,0
HG27SX,,,0
HR12ER,,,0
RH164EX,,,0
OX169AL,,,0
HU32JZ,0.0,HU32JZ,0
RM70AG,0.0,RM70AG,0
IP45PD,,,0
TS43BW,0.0,TS43BW,0
NR316LA,,,0
OX39DU,0.0,OX39DU,0
SE59RW,0.0,SE59RW,0
NG174JL,,,0
CT13NG,,,0
PR29HT,0.0,PR29HT,0
LN25QY,,,0
LS13EX,0.0,LS13EX,0
LE15WW,,,0
CW14QJ,,,0
SG14AB,,,0
LU40DZ,,,0
L78XP,,,0
LL137TD,,,0
LA14RP,,,0
ME169QQ,,,0
MK65LD,,,0
WS29PS,,,0
SA66NL,,,0
TA15DA,,,0
ME75NY,,,0
BS105NB,0.0,BS105NB,1
WV100QP,,,0
DH15TW,,,0
NR47UY,,,0
NN15BD,,,0
NG51PB,,,0
NE236NZ,,,0
TS198PE,,,0
HA13UJ,,,0
CF479DT,,,0
BL97TD,,,0
PE219QS,,,0
WF14DG,,,0
BH152JB,,,0
SA148QF,,,0
BR68ND,,,0
PE39GZ,,,0
CF311RQ,,,0
PO63LY,,,0
DE130RB,,,0
B152TH,0.0,B152TH,0
NE96SX,,,0
PE304ET,,,0
CT94AN,,,0
NG72UH,0.0,NG72UH,0
RG15AN,,,0
NP202UB,,,0
DY12HQ,,,0
E11BB,0.0,E11BB,0
ST46QG,0.0,ST46QG,0
S602UD,,,0
NE14LP,0.0,NE14LP,0
M68HD,0.0,M68HD,0
DN157BH,,,0
SS00RY,,,0
PR86PN,,,0
SW170QT,0.0,SW170QT,0
S102JF,0.0,S102JF,0
SK27JE,,,0
PO305TG,,,0
SO166YD,0.0,SO166YD,0
KT160PZ,,,0
PO196SE,,,0
SP28BJ,,,0
NE340PL,,,0
SR47TP,,,0
B714HJ,,,0
TQ27AA,,,0
TF16TF,,,0
TR13LQ,,,0
TN24QJ,,,0
NW12BU,0.0,NW12BU,0
WA51QG,,,0
SA612PZ,,,0
CA288JG,,,0
BS234TQ,,,0
TN240LZ,,,0
SO225DG,,,0
CV345BW,,,0
BN112DH,,,0
L355DR,,,0
WR51DD,,,0
IP332QZ,,,0
WD180HB,,,0
SA312AF,,,0
SL24HL,,,0
HP112TT,,,0
BA214AT,,,0
YO318HE,,,0
LL572PW,,,0
