property,,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency
subtype,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,
lsoa,lsoa_code,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 001A,E01014399,30.0,,60.0,,80.0,,105.1,,135.1,,,,135.1,,-0.9542638439141307,,0.1866873707796725,,0.4632389464727397,,1.0,0.00014132278123233464
Bath and North East Somerset 001B,E01014400,30.0,0.0,60.0,0.0,80.0,0.0,104.1,0.0,134.1,0.0,,,,,-0.52719230109543,0.0,0.0969785581024103,0.0,0.6856602522029953,0.0,4.0,0.0005652911249293386
Bath and North East Somerset 001C,E01014401,30.0,0.0,60.0,0.0,80.0,0.0,104.1,0.0,134.1,0.0,,,134.1,0.0,-0.8141816426971257,0.24854006044243868,0.15719671423772963,0.0521504529822443,0.5378283794793223,0.1280261572677287,2.333333333,0.0003297531561616733
Bath and North East Somerset 002A,E01014402,30.0,0.0,60.0,0.0,80.0,0.0,106.2,0.0,136.2,0.0,,,,,-0.52256723755205,0.0,0.09617833471744708,0.0,0.684792889255142,0.0,3.666666667,0.0005181835312323347
Bath and North East Somerset 002B,E01014403,30.0,0.0,60.0,0.0,80.0,0.0,105.1,0.0,135.1,0.0,,,135.1,0.0,-0.6323087396637364,0.19871500449292157,0.11912008661451289,0.04170343317809895,0.6297452741537781,0.10276993660428012,5.666666667,0.000800829093697004
Bath and North East Somerset 002C,E01014404,30.0,,60.0,,80.0,,106.2,,136.2,,,,136.2,,-0.9505120853297679,,0.18600717650716364,,0.46249825513808857,,1.333333333,0.0001884303749293386
Bath and North East Somerset 003A,E01014395,30.0,0.0,60.0,0.0,80.0,0.0,108.4,0.0,138.4,0.0,,,,,-0.5177178011662404,0.0,0.09533863726498404,0.0,0.6838828397193015,0.0,1.0,0.00014132278123233464
Bath and North East Somerset 003B,E01014396,30.0,0.0,60.0,0.0,80.0,0.0,105.09999999999998,0.0,135.1,0.0,,,135.1,0.0,-0.7396271077472011,0.24784115480791896,0.1416425146695661,0.0520133196015558,0.5742431649267653,0.1281766308112314,2.666666667,0.00037686075
